marque,model,Puissance fiscale,Carburant,Année,Boite de vitesses,etat,price
volkswagen,Tiguan,8.0,Diesel,2012,Automatique,0,220000.0
alfa-romeo,Stelvio,9.0,Diesel,2018,Automatique,0,239000.0
fiat,Fullback,10.0,Diesel,2021,Manuelle,0,140000.0
jeep,Grand,12.0,Diesel,2016,Automatique,0,162000.0
hyundai,Tucson,8.0,Diesel,2019,Automatique,0,290000.0
volkswagen,Passat,8.0,Diesel,2019,Automatique,0,206000.0
fiat,Tipo,6.0,Diesel,2019,Manuelle,0,115000.0
fiat,Doblo,5.0,Diesel,2017,Manuelle,0,80000.0
fiat,Doblo,6.0,Diesel,2019,Manuelle,0,90000.0
fiat,Fiorino,6.0,Diesel,2018,Manuelle,0,88000.0
fiat,Doblo,6.0,Diesel,2018,Manuelle,0,98000.0
renault,Kangoo,6.0,Diesel,2020,Manuelle,0,105000.0
dacia,Sandero,6.0,Diesel,2013,Manuelle,0,69000.0
mercedes,220,8.0,Diesel,1996,Manuelle,0,50000.0
peugeot,206,6.0,Essence,2005,Manuelle,0,44000.0
suzuki,Celerio,6.0,Essence,2014,Manuelle,0,57000.0
fiat,Punto,7.0,Essence,2007,Manuelle,0,52000.0
mercedes,Gle,31.0,Essence,2016,Automatique,0,640000.0
audi,Q3,8.0,Diesel,2020,Automatique,0,629000.0
land-rover,Range,8.0,Diesel,2020,Automatique,0,478000.0
peugeot,3008,8.0,Diesel,2021,Automatique,0,319000.0
bmw,Serie,12.0,Diesel,2017,Automatique,0,369000.0
jaguar,Xe,8.0,Diesel,2017,Automatique,0,248000.0
volvo,V40,6.0,Diesel,2018,Automatique,0,162000.0
volkswagen,Arteon,8.0,Diesel,2018,Automatique,0,229000.0
audi,A7,12.0,Diesel,2012,Automatique,0,159000.0
jeep,Grand,12.0,Diesel,2019,Automatique,0,225000.0
renault,Clio,6.0,Diesel,2022,Manuelle,0,146000.0
dacia,Duster,6.0,Diesel,2015,Manuelle,0,130000.0
renault,Megane,6.0,Diesel,2012,Manuelle,0,109000.0
peugeot,208,6.0,Diesel,2017,Manuelle,0,117000.0
audi,A6,8.0,Diesel,2011,Automatique,0,160000.0
fiat,Uno,7.0,Essence,2002,Manuelle,0,22000.0
dacia,Sandero,6.0,Diesel,2018,Manuelle,0,105000.0
land-rover,Range,12.0,Diesel,2020,Automatique,0,600000.0
renault,Zoe,10.0,Electrique,2022,Automatique,0,195000.0
dacia,Duster,6.0,Diesel,2011,Manuelle,0,85000.0
ford,Focus,7.0,Diesel,2016,Manuelle,0,148000.0
seat,Leon,7.0,Diesel,2016,Manuelle,0,145000.0
volkswagen,Tiguan,8.0,Diesel,2012,Automatique,0,145000.0
volkswagen,Touran,8.0,Diesel,2016,Automatique,0,265000.0
land-rover,Range,8.0,Diesel,2017,Automatique,0,210000.0
peugeot,206,8.0,Essence,2005,Manuelle,0,45000.0
alfa-romeo,Stelvio,12.0,Diesel,2019,Automatique,0,158000.0
iveco,Autre,10.0,Diesel,2019,Manuelle,0,360000.0
mercedes,Classe,9.0,Essence,2012,Manuelle,0,130000.0
peugeot,308,6.0,Diesel,2022,Manuelle,0,210000.0
renault,Megane,6.0,Diesel,2019,Manuelle,0,159000.0
volkswagen,Golf,8.0,Diesel,2008,Automatique,0,95000.0
skoda,Octavia,6.0,Diesel,2015,Manuelle,0,135000.0
mercedes,Classe,9.0,Diesel,2012,Automatique,0,178000.0
